AKTX,Health Care,Major Pharmaceuticals,32.98,2.03,2.555,0.794566,15,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
AKCA,Health Care,Major Pharmaceuticals,2150,22.23,26.812,0.829102,18,9.56,91,-0.44,-0.72,-0.73,-0.79,0.34,\N,36,\N,2019-07-05 17:16:12
AKBA,Health Care,Major Pharmaceuticals,522.13,4.38,6.195,0.707061,10,2.22,62,-0.48,-0.6,-0.46,-0.76,-0.62,\N,36,\N,2019-07-05 17:16:36
AKER,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Subst,6.12,0.435,0.894,0.486623,5,2.78,67,-0.24,-0.16,-0.26,-0.34,-0.07,\N,36,\N,2019-07-05 17:16:55
AKRX,Health Care,Major Pharmaceuticals,585.2,5.07,3.873,1.30899,96,0.93,44,-0.23,-0.7,-0.56,-1.71,-0.65,\N,36,\N,2019-07-05 17:17:19
AKTS,Public Utilities,Telecommunications Equipment,180.64,5.82,6.635,0.877101,23,158.15,100,-0.22,-0.31,-0.33,-0.24,-0.31,\N,36,\N,2019-07-05 17:17:40
ALRM,Technology,Computer Software: Prepackaged Software,2540,52.31,60.705,0.861714,21,5.68,85,0.21,0.22,-0.16,0.16,0.18,-0.0789474,62,\N,2019-07-05 17:18:02
ALSK,Public Utilities,Telecommunications Equipment,90.36,1.69,1.77,0.95472,35,0.39,32,0.04,0.06,0.03,0.03,0,-0.666667,45,\N,2019-07-05 17:18:27
ALAC,Finance,Business Services,147.78,10.1,9.967,1.01331,52,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALBO,Health Care,Major Pharmaceuticals,374.42,31.87,30.122,1.05803,67,180.51,100,-0.15,-1.22,-1.17,-1.34,-1.39,\N,36,\N,2019-07-05 17:18:51
ALDR,Health Care,Major Pharmaceuticals,919.05,11.4,12.443,0.91616,28,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALDX,Health Care,Major Pharmaceuticals,170.72,5.96,7.944,0.750222,12,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALEC,Health Care,Biotechnology: Biological Products (No Diagnostic ,1230,19.06,0,0,2,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALXN,Health Care,Major Pharmaceuticals,28060,130.3,126.156,1.03285,59,6.77,87,1.11,-2.05,1.47,-0.2,2.61,0.321888,83,\N,2019-07-05 17:19:40
ALCO,Consumer Non-Durables,Farming/Seeds/Milling,225.15,30.29,28.676,1.05629,67,2.45,64,-0.67,1.09,0.09,-0.33,1.01,0.954545,97,\N,2019-07-05 17:20:07
ALGN,Health Care,Industrial Specialties,22080,273.29,269.483,1.01413,52,10.36,92,1.17,1.3,1.24,1.2,0.89,-0.682927,44,\N,2019-07-05 17:20:27
ALIM,Health Care,Major Pharmaceuticals,65.32,0.88,0.968,0.909077,27,1.24,50,-0.11,-0.06,0.39,-0.02,-0.04,0.14,75,\N,2019-07-05 17:20:47
ALYA,Technology,Computer Software: Programming\, Data Processing,145.02,2.75,2.93,0.938493,32,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALJJ,Miscellaneous,Business Services,59.32,1.56,1.559,1.00064,47,0.18,26,-0.01,-0.08,0.03,0.02,0.01,0.181818,77,\N,2019-07-05 17:21:14
ALKS,Health Care,Major Pharmaceuticals,3420,22.72,29.925,0.759221,13,3.19,70,-0.4,-0.21,-0.22,-0.06,-0.62,\N,36,\N,2019-07-05 17:21:36
ALLK,Health Care,Major Pharmaceuticals,1740,42.41,41.067,1.0327,59,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ABTX,Finance,Major Banks,692.32,33.52,35.238,0.951252,35,4.73,81,0.57,0.55,0.65,0.59,0.58,0.1,73,\N,2019-07-05 17:22:09
ALGT,Transportation,Air Freight/Delivery Services,2190,144.73,133.309,1.08567,75,1.37,52,3.42,3.1,0.94,2.56,3.52,0.0387597,69,\N,2019-07-05 17:22:43
ALGR,Finance,Business Services,191.74,10.05,9.942,1.01083,51,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALNA,Health Care,Biotechnology: Biological Products (No Diagnostic ,92.63,4.95,6.273,0.789104,14,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ARLP,Energy,Coal Mining,2170,17.69,18.672,0.947389,34,1.08,47,1.16,0.64,0.55,0.38,2.12,0.551724,89,\N,2019-07-05 17:23:17
LNT,Public Utilities,Power Generation,11820,49.95,46.261,1.07974,73,3.26,71,0.52,0.43,0.87,0.36,0.53,0.0196078,68,\N,2019-07-05 17:23:37
AHPI,Health Care,Industrial Specialties,7.19,1.72,1.81,0.950116,34,0.2,26,-0.22,-0.04,-0.31,-0.19,0.09,\N,36,\N,2019-07-05 17:24:04
AMOT,Capital Goods,Electrical Products,349.79,37.4,38.768,0.964717,38,1.1,48,0.45,0.45,0.52,0.28,0.48,0.125,74,\N,2019-07-05 17:24:29
ALLO,Health Care,Biotechnology: Biological Products (No Diagnostic ,3180,26.78,28.337,0.945056,33,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
ALLT,Technology,Computer Communications Equipment,246.77,7.83,7.284,1.07492,72,2.65,65,-0.11,-0.07,-0.07,-0.05,-0.1,\N,36,\N,2019-07-05 17:24:53
MDRX,Technology,EDP Services,1860,11.57,10.604,1.0911,76,1.1,48,-0.22,0.36,-0.2,2.14,-0.04,0.0762712,71,\N,2019-07-05 17:25:14
ALNY,Health Care,Major Pharmaceuticals,7580,72.19,79.673,0.906081,26,89.52,99,-1.41,-1.63,-2.43,-2.09,-1.73,\N,36,\N,2019-07-05 17:25:38
AOSL,Technology,Semiconductors,209.4,8.94,10.668,0.837983,19,0.49,34,0.07,0.04,0.1,-0.06,-0.06,-0.8125,42,\N,2019-07-05 17:25:56
GOOG,Technology,Computer Software: Programming\, Data Processing,754190,1131.59,1135.27,0.996759,46,5.48,84,13.33,4.54,13.06,12.77,9.5,-0.435722,50,\N,2019-07-05 17:26:23
GOOGL,Technology,Computer Software: Programming\, Data Processing,755050,1132.67,1140.7,0.992958,45,5.48,84,13.33,4.54,13.06,12.77,9.5,-0.435722,50,\N,2019-07-05 17:26:45
ATEC,Health Care,Medical/Dental Instruments,190.71,4.27,2.89,1.47763,99,2.1,61,-0.09,-0.21,-0.22,-0.25,-0.29,\N,36,\N,2019-07-05 17:27:11
